Name,On a Scale of 1-5 Rate the Place,A Detailed Review of the Place
Rohit g,4,Good place foe ladies. thy enjoued shopping..remwber if you want to buy something bargain or else you will loose your hard earned money.Worth visiting the place
Gugan_Ilango,4,Birala science centre is one place where you can find the history of the region under one roof. a must visit to understand rich culture and history of the region
SRIKAKOLAPU,4,With lots of greenery this place can be visited in the morning or the evening and its nice and decently maintained
Flyer50038994699,5,Wow excellent 👌🥰 all rides next level experience 🫠🫠😍😍👌👌we enjoyed with my buddies it's our second time visit .we are planning to come again again to enjoy wonderla
Pablodvlp,4,"Beautiful white marble temple dedicated to multiple gods.Once you leave all electronics, backpacks and shoes, you head towards to top of the hill where the temples are located. There are various sections for different gods.The view from the top is pretty good, especially towards the lake.There is a gift shop right outside the exit which is also a good spot for pictures.I enjoyed checking the shops on the side of the road on the way down back to the city.If you are on this side of the city, it's a good opportunity to also check out Sagar lake."
Jajabor,4,"Must visit for tourists in Hyderabad looking to experience a spectacular view of the necklace road around the Hussain Sagar lake. Parking space is a bit of a problem. The approach to the temple is very narrow, steep and almost always very congested."
advait,4,Zoo is quiet good .inside  zoo hotels are few but zoo is very large very much excited after seeing  white tiger bengal tiger and babbar sher
Nikhil Shah,5,"A very clean and well maintained temple. The top is nice and windy, good view. You have to take out your footwear and I trhink even mobiles, etc before entering. Limited parking available."
mahomed swalleh ameer,4,Situation in the middle of the city of Hyderabad.Its a joy just driving around the circumference of the lake.Lots of entertainment along side the lake.Lots of food.It looks stunning as the sun sets.At night the lights iluminate and makes it very beautiful 
PsychoEdinburgh,4,"This is  very busy monument but worth queuing up to see. Once you've climbed the narrow stone staircase you are rewarded by lovely views of the city, fine stone carvings and multiple arches. Well worth the visit and it probably take about an hour all told"
Lesley,3,"Entry ticket with 60Rs per head. You can find animals like white tiger, tiger, lion, elephants, hippopotamus, rhinoceros and many wild animals. There's a highly priced canteen inside selling chat items and briyani. Have 3-4 water bottles during your visit. By the time we visited, safari ride was not there, which would take you inside the forest with freely roaming animals. Worth to go if you are going as a family with children as they would enjoy the park and the animals. For a gang of friends, you would start feeling devastated by this visit."
Navigator22613068778,5,Nice experience and a best place to enjoy with friends as well as family. The rides are so thrilling and exciting. A wholesome experience. 
dr.pragnesh Vachharajani,4,Nice place of worship. Need to walk a bit from main road. You need to deposit mobile in the clock room. Then need to take stairs to reach the main mandir. Facilities for using lift for senior citizens. Very good views of city from above. Need typically 30 to 45 minutes here
Andrew D,5,"This is one of my favorite places in Hyderabad. The details are quite elaborate and there are many sculptures to appreciate, as well as a lovely view of the Hyderabad city from the top.Mobile phones are not allowed inside, but you can leave it in the cloak room and take a number."
Go11408847903,5,"Experience was wonderful, was memorable. Thought of visiting again.Enjoyed a lot with friends, totally was joyful."
bsk83,5,They gave a pleasant surprise on my daughter's birthday which made her day a memorable one. Will definitely remember this day 
Abhishek807,5,One of the Best Timepass for Kids... Perfect for Them... Should take your kids for this wonderful journey
wjw2018,4,"Once you get past the 'no plastics' security patrol, who will confiscate any plastic bags or make you get your water bottle stamped for a 10 Rs deposit, you're free to enter this zoo (tickets cost 50 Rs)...and WHAT a huge zoo it is! There are not a massive amount of animals but the ones that are there looked to be in a reasonable condition and had food and water, though the cages for the birds didn't have any greenery in them which was sad. For those who don't like walking too much, there are various transport options like a train and some small golf cart trailers who'll take you around  for a small charge. Also, halfway round the zoo there's a bus that you can board, for an extra 50 Rs, to take you on a mini 'safari' where you can see lions, a tiger and some bears. I was saddened to see them in cages though....the area of the safari would be big enough for them to roam free, but they've been contained in featureless enclosures which is sad. Outside of this, there's a lot of imagination shown, with tunnels and fossil parks and all sorts. It does make for a good day out, but there could be some improvement with more seating and some restaurants and water points. Overall, pretty good, though a bit more foliage in the bird cages would be kinder for them, plus more staff presence to stop people whistling and harassing the animals is definitely needed."
jainms,5,Evening times preferred here as the lights gives more beautiful look and can enjoy the visit. Couple of water games & activities here will make kids happy & enjoy their day.
Shankar I,,Frequented by lots of people for leisure. The area is well maintained and people have a good time here.
Nimmagadda D,,hep   this the first science centre i  visited with great practical experience you can  get  from here trust me you can get a great experience vistit this place
Twinkle Sonar,4,"We had visited Ramoji Film City on a day tour during our holiday in HyHad a great time here. Indian Universal Studio. Everything is nice here. Food, tour guide, location and activities inside."
Rajujacob,5,Its looks very colorful during  night time its very attractive with display of light. Its a such a huge sagar.
The Route Edit,4,"This was my second visit to the fort. Last time we visited we didn't have time for the light and sound show so this time I made it a point to stay back for it. The fort itself is very beautiful provided you like historical places or else it would seem brick and mortar debri. Take a registered guide and remember to bargain for the rate coz without a guide it might seem boring. The view from the top is worth the climb and do check the amazing architectural acoustics of the fort. Coming to the light and sound show, I would suggest you give it a miss. They give you a complimentary odomos tube with the tickets so you can imagine the amount of mosquitoes you are about to face during the show. You will be so busy battling mosquitoes that the real battle stories wouldn't seem that interesting. I sat there and dozed off for a major part of the show. I like history and have watched lots of light and sound shows but I guess this experience wasn't that great for me. "
sandeep g,3,"you find good collection of historic antique items here , good to know how things are used in the old ages .. "
Zain,5,I had agreat and wonderful experience at wonderla. It had veey big rollercoaster which was bery thrilling .
Jinesh S,5,It was a great experience to visit Ramoji Film city. One day would be not enough to visit entire place. However if one has limited time and budget can cover 80 to 90 % if well planned.
Arun A,4,"One of the attractions of Hydrabad, was situated in a conjusted place. It was built a century ago, it withstood all calamities."
chaithu k,5,"NTR marg is so pleasant and peaceful area which is N.T Ramarao's memorial. Beside there is small Urban park near by Hussain Sagar lake which is in Hyderabad. Park is located in the centre of the city, and is close to other tourist attractions Birla mandir, Necklace road, Lumbini Park. It maintained by Budha purnima project authority under Telangana Government."
sanjib c,,"Good historical place to visit but too crowded. The place needs to be be maintained by the authorities for cleanliness as the locals, hawkers, shops and the tourists litter the place with disposals. People over there should be advised and fines to be imposed on breaking the rules. It is a pity that such a beautiful historic place is not maintained. One should not forget to have the falooda and lassi nearby. Shopping for glass bangles is a must for the ladies. "
Peter V,4,"I had a free Sunday in Hyderabad and decided to visit the Zoo. I was pleasantly surprised by the space the animals have: I saw some beautiful albino tigers, elephants, giraffes, tropical birds, etc... What I did not know is that I was going to be the only tourist (ie. white male) in the entire Zoo; so I became the attraction. Families with kids wanted to take pictures with me which was somewhat unexpected. Oh and the other funny thing about my visit is that the most popular animals in the Zoo were the deer! I was barely interested, but the locals were all lining up to see deer."
Adventure02924825842,5,The Amusement and water rides were amazing....Best part was side counters and the food is decent too... Pricing is very apt.. 👌🏻Will Definetly like to visit again soon.. 😊
Farook Uddin,4,"Spreads over 380 acres of land, the zoo is managed by the Forest Department of the Government of Andhra Pradesh, Don't Carry polythene bags, bedsheets, knifes. They are not allowed. Reach early to buy tickets you won't get it online and especially on weekends there is huge crowd and long queues. I would suggest better visit on weekdays if you want peace. :-) "
Dr Manoj Swaminathan,5,"Kids will simply enjoy the various rides, which are indeed cost effective. Better to visit after 5PM."
MyNameIs Shiva,4,Nehru zoological Park is good place to teach the Kids on different things.Better place for kids as well as Young and old Generations.
Pagadalasiddhartha,5,Temple is situated on high hillrock called naubat pahad It's made full of marbles and good look of Hyderabad from that height
S R V,4,"NTR gardens near Hussain Sagar Lake is a garden where children go round to enjoy their outings on week days. For people like us aged above 60s it was a leisure place where we could see cactus gardens, beautiful lawns etc."
nomadic_heart7,5,"the hustle bustle of old hyderabad, the cafe ,the chaos all under one roof...the charminar...its very nice in the evening to watch the crowd....you can shop for bangles plenty"
Nilesh Patil,4,Huge area..Very costly tickets..Universal studio of Singapore is much better.Only visit and view sets. ... Not much entertainment.. overall good and one can visit once ..
OMKAR PAGADALA,5,I have enjoyed a lot by visiting this zoo. It's is a very big area. And animals are taken care very nicely.
640sameerp,1,"Been to India's almost all science centres, but Hyderabad's Science centre is poorest.No interactive games, poor condition, Boring activities and no fun.For me, Kolkata's science centre is best in India.Do not waste time here. Not at all recommended!"
srinivasan s,4,"The steps of the charminar are steep.. otherwise it's worth visiting.. around Charminar you can do shopping especially bangles.. better visit in the afternoon it will be less crowded..no car parking available..plan accordingly 

"
neeraj2boby,5,Beautiful manmade lake. Boating is a wonderful evening event. Water front restaurants and lovely area for walking. Has ample parking space too
Mukesh A,4,"Great place to visit. Kids do enjoy boating, the buddha statue and garden around it. Good fun for a couple of hrs"
Ratan,5,It was a very true experience to see the remains of our History rich in culture and construction technique...
NG,1,Very sad state of garden - totally run down - absolutely avoidable - lovely trees n horticulture but on the whole sad.
Deepak,5,Excellent darshan. Nearby laser show and gardens. Mini shopping shops good one. Take a city tour of royal they will charge rs 400 and start from Birla mandir .see lakdi ka bridge nearby you will love.
Ravi,,Had a very good experience and they have celebrated my fiance bday. Had a good time with my family and relatives.
Sundaresh,5,"The best place for trying authentic Nawab cuisine, pearls, dress, slippers, bangles, Tea, samosa, kababs, tourist attractions, holy places of worship. "
sramanujamk,5,A must place to visit with children. Take a guide and learn both history and acoustic engineering mastered by our ancestors before the invention of electrical sound systems and communications! The whispering wall and alert arena are must-watch.
Ratan,5,It was a very true experience to see the remains of our History rich in culture and construction technique...
Srinivas,,It is not that the Char Minar is an architectural marvel for the general public but the sorrounding and the market place makes it a wonderful experience. You experience an intricate culture while standing near the place. It is thronged by people all around.
Praveen K,5,"Visit to this magnificent fort is incomplete without attending light & sound show in the evening, which tells the story of fort and the city"
FIRDOUS (ARMAAN),5,In my visit as solo I got all the information from staffs they were really good. It's clean I don't like the safari trip animal was always hiding.you need at least 3 to 4 hours to see all. The best part of this zoo is bird paradise where all the birds are free and we are allowed to go inside.
Saurabh A,3,"Goods:The restaurants near to the lake serve good food. It feels really nice to eat near to a lake, especially when the weather is good.BadThe water is very dirty.The places smells at times."
SSSUUUNNNNNNYYY,5,Birla science centre is a good place to visit with family and kids. It also has 3D theater here. Birla mandir is also very adjacenet.
MLGP2015,5,"One of the oldest buildings in India. Surrounded by a crowded, fun market where both locals and tourists shop."
S R V,4,"NTR gardens near Hussain Sagar Lake is a garden where children go round to enjoy their outings on week days. For people like us aged above 60s it was a leisure place where we could see cactus gardens, beautiful lawns etc."
abrahamsuji,5,Must visit. Easy access. Ample parking space. Boating facilities available. Excellent place for evening walk & wind down
Kerala Honeymoo... s,,Nice and Excellent. Required more time to visit places - in shot duration can't cover this place. Explore all near places.
Maryj2111,4,"Great place to hang around... eat some peanuts, watch the sunset and the Buddha .. get an ice cream or a roasted corn and enjoy the gentle breeze .. watch the traffic and the calm lake diametrically opposite in nature and both endearing "
Varsha V,3,"NTR Gardens need a lot of repair and maintenance. After visiting other attractions in Hyderabad, I felt this park is very neglected. The toy train wasn't working, the fountain needed cleaning. Except for the plants nothing seemed lively. But that doesn't stop kids from enjoying. that's the only thing worth visiting there. You will see happy kids all around you. If you have got so much time in your hand, do visit it. Else spend more time in Salar Jung Museum!"
lonetraveler1,4,"This place is like a one stop treasure trove for children. The one star that is missing from the rating is for air conditioning. Otherwise, its a perfect place to spend the day with children. They will spend the day discovering, learning, experimenting and watching. At the end of 3 hours, we were still not done. The Nirmala Birla Dolls Museum , then the Archeology museum, where we really saw the grandeur of our past - stone age, iron age, pottery meticulously preserved, terracotta animal figurines that reminded me of Harappa valley pottery figurines.  Then there was Indian painting, Philately, Numismatics, Art. It was 2 hours before the children exited just the basement floor. Then we went to the science experience center, where children play with specially created learning toys. You can easily put kids there for 90 minutes and forget about them. After that it was time for the observatory in the planetarium next door, so off we went. We could see Mars (nothing impressive) and Jupiter(we saw the stripes of Jupiter and the 4 moons of Jupiter). It was awesome! Then we came back to the Dinosaurium. It has a full skeleton of a large dinosaur, one preserved egg fossil, and some bone fossils. Its an awe inspiring skeleton. The building is basic, but that skeleton.. is something!! We missed the space and Antartica Diorama, but we have seen that earlier. MOre than anything else, this visit got me thinking about private museums in the country. This was absolutely fantastic."
Rohit g,5,pure white marble twmole with what a great finishing.Lobed the view from top of the city.Felt very divine and we enjoyed tge place
Praveen,5,Good place I visited recently. Peace and calm place. Looking so beautiful and enjoyed in the place. Simply nice....
Mitalee2012,4,"Got to see the whole gamut of wild animals enjoying the winter sun. It's best to go early (at 8:30-9am) when the animals are up and about as they tend to retire for the afternoon.Specially enjoyed the nocturnal animal den and snake pits. TPro tip: if you want to enjoy the Safari, take the hop-on/hop-off tickets and get down at the Safari stop (3rd stop after the elephant stop), as it is a LONG walk and difficult to get back to, especially with children. The toy train was also pleasant and enjoyable."
Partha Sarathi M,2,"I went there on April 01, 2017. No where they mentioned that cameras are not allowed. So  the security guard at ticket counter also didn't check out handbag. So we went inside and started doing our photo session work. The maintenance was too poor. When we were almost done with out photo session, suddenly a security guard inside the park (near the lake) scolded and asked to switch off the camera since its not allowed. I told him no where it's mentioned. So we have to stop our photo session and fall back.It's disgusting and humiliating. What hard a DSLR can do in a park?We will never go there again. It's not good for photography loving people. The management is poor."
1512012,5,"Family picnic spot near to Hyderabad city. 40 km from airport. very good place. Family and children friendly. Three types of entry pass. 1000,1549,2149 in 2149 ac bus, food, tea coffee, snacks including."
Raman G,4,"We visited the fort as part of our holiday to Hyderabad.  It is part of your sightseeing itinerary.  Managed by Archaeology Survey of India. We did not take a guide. ( as compared, for Agra fort you surely need a guide). It is mainly a walk in the grounds and a abt 300 step walk to the highest point in the fort open for tourists. As Senior Citizens,  we did  walk to the top. It is tiring. Did it at a slow pace. The main attraction is the view from the top."
Ravindra V,5,Must visit if you are visitor to Hyderabad or a local. Great architecture. There are lot of clothes and pearl shops around.
sunil,,"As the name suggests,it is basically to film makers where u can have replica and sets of any location.One day is not enough to pay the visit to all the places in it and it spans over few hundreds of acres."
Rajendra Kumar,5,"Really spiritually refreshing trip. Visited during 6-8 May 23. stayed in the lap of lush green premises at Kanha Shanti Vanam, the one of kind place. Liked the food and ambiance. Had a visit of Golkonda fort and enjoyed the light & sound show."
Sagar D,2,We went there with so much expections but it wasn't worth of it... Though the entry charge is less u have to pay separately for Battery vehicle  & Safari ride...Jungle Safari is useless..All the animals are in cage only so not sure why they called it Safari..Not mainatned properly when compared to Benglore Zoo..
Suhail Siddqui,5,"A full family place to get up and close with wild and reptiles. White tiger, lions,  leopards, elephants, crocs, snakes, chameleons, owls, giraffe etc.Please do make notice of following point which will help you if you visit over there:1. Entry tickets are just to make entry in zoo.2. If you want to travel on battery car at important point where you can see animals then it ticket you will get inside. (WOULD STRONGLY recommend this as there are lots of waling) or you can opt for bicycle on rent for each individual.3. If you want to take safari which is separate from zoo then, you have buy tickets inside, they will take inside the restricted zone where lions are roaming free (we saw just one).4. If you want to see OWLS, then you have shell 20 INR per head inside zoo. This place is right after reptile section.Overall an amazing place."
YatriForever,4,"The large lake connecting the twin cities of Hyderabad-Secenderabad  attract thousands of locals as well as tourists. The best way to experience lake is to drive around the necklace road and stop by at different designated parking spots; some along the lake side and some across the road, enjoy the view. The giant National flag is something that I didn't see a few years ago! Nice !The speed boat drive on the lake may have some wait, but it's worth it. That's the only way you can get close to the Buddha statue.I wish the authorities do more to keep the lake cleaner, it deserves a better deal.Overall, this is a must see attraction , spend at least an hour.I was there during sunset on a clear sky day, it was beautiful. "
Krishna Sandeep Siram,4,This place is Good but too expensive and mostly you will see deers and some rare species of different animals.For Lion and Tiger you have to take another Safari ride in Bus.
ishani b,1,"Plz nvr visit, worst pathetic management.zZERo remarks... No one assisted, no guidanceHell for people to visit"
Srinivas,5,Lovely PlaceGood place to go in the city and very near to Hussain sagar . Very clean and good place to go with family
deepak s,5,Excellent service. Great hospitality. Got free entry as per birth daystination of wonderla Hyderabad. Enjoyed a lot. Thanks for the treat.
Jinesh S,5,"Mobiles and Shoes are strictly not allowed,Entry upto 9 pm only, good to visit in evening time. 200 steps to climb, temple is really nice. you can sit  their and view from above is magnificent"
Xenos,3,"An iconic monument of Hyderabad. Unfortunately, there was heavy security the day we visited this. Loved the bazaar around this. Great place to buy bangles (Indian)"
tapas1966205,5,"Till we saw the Idol, we were not knowing that Birla  Mandir houses Balaji -we are follower of Balaji. So, after taking all those steps , when we saw Lord Balaji - we were overwhelmed . The whole temple was very nicely and painstakingly kept clean . On will also get a superb cityline view from the top level."
Veer2468,3,Its a nicely located lake in the heart of the city but not well maintained. It was just ok to visit once. 
Saidulu,5,I must say that we had a fantastic time at wonderla the variety of rides and cleanliness inside the park was good overall great place to enjoy
GrandTour17172037694,5,Wonderla is superb good...it is my second time visit to wonderla wants to visit again and again thank you wonderla for celebrating the birthday it's nice to cheer up your coustomer thank you so much everyone in wonderla team
nitin m,5,"Children will enjoy the place.  Science experiments, astronomy, etc are all there. On the top floor there is a skeleton of dinosaur "
lkoraj,4,"Very good place, boating is main attraction of this place, really you will enjoy at this place, deterrent type of boats are there, a full entertainment place."
MrH0rnet,5,"This place has 5 sub category to visit1. Planetarium: Amazing experience , specially for students and science enthusiast. Well explanation and 360° screen are like you are sitting under clear sky. Though , I felt explanation can be made little easier fir understanding of school children.2. 3D movie about solar and space facts:Great for young school children knowing already and having watched many 3 movies it felt boating. 3. Art Galary : perhaps biggest one I hva visited so far. Spread on 3 floors, most people just visit modern art Galary and miss the best part. In front of art Galary there is huge series of art, Specially we liked painting by Iqbal Hussain on Indian Mythology and history . Amazing details. I wish I could take photos but it wasn't allowed.4.Dianasorium: Huge skeleton of Dianasour found near Hyderabad and information are gear. Touching 200 million old fossil is just a great experience.5.Science Museum with live experiments: this is just a unique experience of day to day life physics. Huge learning for any student. There is IEEE experiments to hands on too. This must for any student to visit.Overall, in 200 per head, this is most fun place in Hyderabad so far."
Ambrish L,5,"I went there on 25-Dec. Being a holiday it was overcrowded. But they had managed the crowd so well, it was smooth. Overall a peaceful and blissful experience. "
Mittal28,5,You cannot take your mobile and camera inside the temple you need to keep in locker room..steps are more..but very clean temple..from top you can see the whole city view..do visit once
dr MADHUSUDAN SR,5,Ramoji film City was a pleasant experience... We had a day full of activities and exciting events organised by the staff.. they were V good and guided us nicely thru the different spots...  Food was good... Quite costly..🙂 Rooms were small although neat... 
pvrkaushik,4,"Dense Green park in the heart of the city... Couple retreat... And great place for kids too... Fun rides, eatery etc... U can beat the heat with this place's greenery"
The Food Wanderer,5,"It is not that the Char Minar is an architectural marvel for the general public but the sorrounding and the market place makes it a wonderful experience. You experience an intricate culture while standing near the place. It is thronged by people all around. However, if you are into shopping, this is the place to go."
sanjib c,5,Had a wonderful experience. The place was very well maintained and the tour guides are very well informed about the place. staff are very helpful and the food served in the restaurants are good.I would however suggest the management to be a bit more strict on the littering by the visitors in the park. It was a shame to see educated people littering the place with water bottles and disposal bags. 
Adeeb unisa,,I feel theres scope for cleanliness and maintainence. And go ahead with children.have fun.treat animals well.
Gurus49,5,A beautiful place to experience peace and tranquility amidst the hustle and bustle of the city of Hyderabad.
Avirup Guha Roy,,"Commissioned by Md. Quli Qutb Shah in 1591, this was built to commemmorate the end of plague epidemic... the four minarets depict the first four Caliphs of Islam... the Monument was built in granite and lime mortar using Cazia style of architecture"
Shailendra,3,"NTR Gardens located next to Hussain sagar lake has lost its charm due to poor maintenance. The toy train and tree house does not work and the park becomes overcrowded on the weekends.On the top of the above, the charge for camera is Rs. 1000/- which is too exorbitant.Overall, an average experience. "
Nipunika J,3,"Visited it in late afternoon in December hence was pretty hot. It was pretty crowded, the fort is interesting place. Worth a visit when in Hyderabad. The roads around are narrow, hence plan your visit likewise if driving there. "
NIL_MODI,4,Beautiful garden. Nice place. One should visit in the evening. nicely maintained. entry charge is there. small rides are also available at extra charge for kids.
Dipubose,4,"Generally missed by most but is a great day activity especially if you have little adults< age less 14 years.It is over 4 floors ,each having different themes- Science(real interactive exhibits around various science principles which kids can have hands on & they will enjoy),Dinosaureum level 4 & lower level with archeological stuff & level 3 as science & space history.Star attraction is Actual dinosuar skeletal exhibit recovered from AP .Entry fee is 80 / head but you can combine this with Birla  Planetorium for 150 combo ticket.you could probably spend 2-3 hours here & ample parking is availalble at campus."
Raman G,4,Went in the afternoon. We walked in 5 minutes to this place from Chowmullah Palace. A visit only because it is popular. And has been advertised a lot. The area around is dirty and crowded with hawkers. The latter keep pestering. The segregated area around it has hawker stalls which is a pain for a tourist. It could have been developed beautifully. One is allowed to climb up to the first floor. We did not do so.
Tushar D,4,My 5 year old son enjoyed. But same time he tired also. I think it’s ok trip for adult. If someone has interest in movie then that person will enjoy the trip. Area is huge. Food is somewhat costly. Try to visit on weekdays.
Him6788,5,Always a good place to hang around with family at any time of the year and within the city. Next to this there is a play area for Kids
Aratrika Basu,4,"Chaminar is a lovely place. I really like to go here quite often, but I suggest one to visit it during the month of  Ramzan. The place comes alive and is open all night. If you go there during that time, you can't leave without having the famous Hyderabadi Haleem. Nevertheless, Charaminar is awesome and one must go there when they come to Hyderabad."
TANISHK REDDY,5,Golconda is one of the iconic sites in Telengana state. I visited on a cool day and the views of Hyderabad hitech City was very good. It's a must visit place for all ages.
Anurag,1,"Certainly over rated place. I do not have any idea how to go in personal vehicle.No trees,  no shelter on top forced to go by bus.food quality is very bad.I will never go again."
Karthik K,3,Visited long back and felt needs renovation . Recently got renovated and offers relaxation in the busy hitech city locality.
NIL_MODI,4,Beautiful garden. Nice place. One should visit in the evening. nicely maintained. entry charge is there. small rides are also available at extra charge for kids.
LostMySelfTraveling,5,I love this park. It's a fantastic memorial of Shri Naandamuri Taraka Ramarao Ex. CM OF Andhrapradesh. It's a must vist place in Necklace Road. It's also close to Imax multiplex theatre. Children will enjoy the park alot. Very well developed and beautifully maintained park. 
Naik M,,"This is a really very good place to visit in Hydrabad, when going for any purpose. The temple is so beautiful that on each visit you will be happy.i"
Ruth M,4,The Hussain Sagar Lake is a major feature in Hyderabad and definitely worth a drive around at least part of it (even though we were caught in a traffic jam due to the visit of some dignitary to the city the day we were there. We enjoyed views of the lake from the car and also from a good lakeside restaurant.
Niyoti,3,"Yes it is true, we humans have destroyed its beauty completely. It stinks so badly that you cannot stand in front of the lake not even for 10 secs. It was to be one of the beautiful lakes of hyderabad but now its beauty has been destroyed completely. "
Journey15787731141,5,"Wonderla is one of the best option for corporate outing. We were a group of 77 people from corporate and the the staff are very much corporate friendly. Enjoyed our heart out with all the thrilling rides. We did flashmob in Wonderla, got designated area for Lunch. The marketing staff and the GR staff are very much friendly. Food was great too. Majority of us felt Wonderla was the best outing we had from our office till now."
madhavi2022,5,read up before you go - guides are scalpers. Reach early to dodge the heat and crowds! Mask up as poor social distancing
Krishna,1,"Not a great place to visit. 
I don’t recommend it for visiting especially for families. Not a good place for visiting "
Laxmi K,5,Lovely architecture and marble carvings. Great view of the hussain sagar lake from this beautiful Venkateshwara Temple that is located atop a hillock. Must visit. 
preethi d,1,"The zoo opens at 8:30am and the staff comes at 10am that means all the animals will be inside the night shelters and nothing to see,  they should either shift the opening timings to 10am or the staff should come to the zoo an hour earlier than the open timings clean the zoo, animals and open all the enclosures. Worst maintenance."
GANESHNIYER,3,"Right next to In-orbit mall, this is a small lake at the heart of high-tech city. Serene view of lake will cool your mind. But, I would say it not NOT a must visit place. If you happen to pass by in-orbit mall or high-tech city, just spend a few minutes here. Some time, you might see a boat ride open for just Rs 30. "
vasant agshikar,5,"Best time to visit charminar by 9 am if you wanna enjoy the view without hustle bustle. You can click some pics too and observe the ancient monument. Evening time visit has its own charm as the crowded with full of people and lively market. One can do local shopping of bangles, pearls and other stuff"
SRIKAKOLAPU,4,With lots of greenery this place can be visited in the morning or the evening and its nice and decently maintained
W S,4,"This fort is vast.  It has so much history.  I visited without the tour guide and felt like I did not miss out.  However, whilst walking around, I met a group of people from the USA (although their manager came from the UK but lives in the States now), and they said the tour guide was excellent.  So I cannot really comment on what experience they provide.  They sell books on the history.  Be prepared to walk and have comfortable shoes.   The climb to the top is worth it though as you see for miles.  It is an amazing structure. "
Bhaskar_10,4,"Visited on 29th December 2023The place has two access points - One is from the Boat Club side which I will highly recommend as it is open from 9.30am till 6.30pm. No entry fee is required here. No parkling charges, however parking can be an issue as it is residential area.Boating charges are INR 50/- for normal shared boat ride and INR 400/- for Speedboat which can accomodate 6 persons. Each price is for 15 min lake tour.The 2nd entrance is from the park side whose openning time is 5.00am - 8.30am and 4pm - 8pm - Here one have to pay entrance fee of INR 10/- per adult and INR 5/- per child. Parking space available and is free.Lots of contruction and higtises and raods surround the lake which is eye-sore but there are vegetationa nd natural formations at places which are very good to see. We saw few migratory bird species in the lake during our visit.Also a good initiative is to avoid litters, the place do not have any eateries. Toilets , landscped gardens, paved pathways, gym area, childrens pay area are among many facilities taht his place boasts off.A good place for visit with family of young children as well as senior citizens."
parasuraman s,5,"Take jumbo ticket and visit complete science centre (planetarium, art gallery and all four floors of science centre including dinosaurium. You need around 5 hours. You need to schedule based on the language you prefer for the planetarium show.When you visit science centre, don't miss -3 floor where they have many physics activities.Very informative for kids and it will be definitely thought provoking for any child. "
Arunkumar,3,I didn't find parking on the day of Christmas. it's very crowdy. A good place to visit to have a fresh air and surrounded by the animal planet.
Sarala C,1,This place has nothing.one very old boat is kept for boating.the park is poorly maintained with filth around . Mere waste of time.
Aditi A,2,Superb place and great shows . The only and major draw back is that they are not wheelchair accessible. Thats something basic .
Sunil,4,The Buddha statue is very famous in hyderbad and its located on the way to railway Station its good to watch just stop in and look at the statue 
Tour16718529191,5,Experience was really good. Felt worth the price and had amazing time all the day. Good maintenance by staff
Chetu1087,4,I visited this place with my friends which I was planning to visit long back. It was good to have a feel to this kind of attractions in your city. Nice place.
Nipunika J,3,"When we visited the monument, two tower was under maintenance. The market around it is very crowded. It is better to get down from cab 10-20 metres from the monument and walk. There are lots of jewellery shops around and food vendors. The around place can use a lot of cleaning. "
Raman G,4,"We visited the fort as part of our holiday to Hyderabad.  It is part of your sightseeing itinerary.  Managed by Archaeology Survey of India. We did not take a guide. ( as compared, for Agra fort you surely need a guide). It is mainly a walk in the grounds and a abt 300 step walk to the highest point in the fort open for tourists. As Senior Citizens,  we did  walk to the top. It is tiring. Did it at a slow pace. The main attraction is the view from the top."
Mukta2016,4,The NT Ramarao garden in Hyderabad is a nice garden located along one section of the bank of Hussain Sagar Lake and gives a nice view of the lake. The garden has many visitors cumming in the evening for a pleasant time.
Cruiser05803034960,5,Its great day for me and my friend. We had super fun.. we will visit again. Thank you! It was a great experience.
rajkumargorle,5,This place is one of the best places i have visited so far.. beautiful landscapes keep u mesmerizing at every corner of the place..movie settings are simply awesome..it takes 2 complete days to explore RFC..if u r lucky enough we can see film stars at shoot which happens everyday almost
Talent P,4,It is constructed of 2000 tons of pure white marble. The granite idol of presiding deity Lord Venkateswara is about 11 ft tall and a carved lotus forms an umbrella on the top. There is a brass flagstaff in the temple premises which rises to a height of 42 ft  
Soumyajit Saha,4,"Hussain Sagar in located isn Hyderabad. In the heart of the Hussain Sagar there is a statue of Lord Buddha. It is a wonderfulplace to visit, if you are visiting Hyderabad."
HONEY,4,I visit this zoo park .It was quite good.I had grate time spend here.Fully enjoyed.I recommend this place for turistor.
Kumar,5,"Wonderla Hyderabad is an incredible amusement park that offers a thrilling and memorable experience for visitors of all ages. From exhilarating rides like Recoil and Maverick to family-friendly attractions like the Fun Racers and Mini Venice, there's something for everyone to enjoy.The park's well-maintained grounds, clean facilities, and friendly staff contribute to a delightful day out. The various dining options ensure that you won't go hungry during your visit, and the water rides provide a refreshing escape from the heat.What sets Wonderla Hyderabad apart is its attention to safety, ensuring guests can enjoy their time without worries. The park's adherence to safety protocols, ride maintenance, and well-trained staff make it a reliable choice for families seeking fun and excitement.Whether you're an adrenaline junkie seeking thrills or a family looking for a day of fun and relaxation, Wonderla Hyderabad is the perfect destination. Prepare for a fantastic adventure filled with laughter, joy, and unforgettable memories."
anuj1401,4,Kids really liked the things on Ground floor and third floor… planetarium show was also nice… sit close to the guy who is operating the projector to get the best view… food items are not allowed inside…
yemKeyAre,3,Good tourist spot. Bit unkempt and dirty. Great view of the city and nice boat right. Quality and ambiance can be made better!
